4.1,2023-12-04 21:50:40
12.3,2023-12-04 21:56:20
12.3,2023-12-04 22:03:50
12.4,2023-12-04 22:04:08
3.9,2023-12-04 22:04:17
3.9,2023-12-04 22:05:48
model_B1,Error: 'Label',2023-12-06 19:40:20
model_v2,Error: 'Label',2023-12-06 19:40:20
model_v3,Error: 'Label',2023-12-06 19:40:21
model_B1,Error: 'Label',2023-12-06 19:49:53
model_v2,Error: 'Label',2023-12-06 19:49:53
model_v3,Error: 'Label',2023-12-06 19:49:53
model_B1,Error: 'Label',2023-12-06 19:55:57
model_v2,Error: 'Label',2023-12-06 19:55:57
model_v3,Error: 'Label',2023-12-06 19:55:57
model_B1,3.9,2023-12-06 19:59:06
model_v2,6.119,2023-12-06 19:59:06
model_v3,-331.3484,2023-12-06 19:59:06
model_B1,3.9,2023-12-06 20:08:27
model_v2,6.119,2023-12-06 20:08:27
model_v3,-266.2846984863281,2023-12-06 20:08:27
model_B1,3.9,2023-12-06 20:10:17
model_v2,6.119,2023-12-06 20:10:17
model_v3,-331.3484,2023-12-06 20:10:17
model_B1,3.9,2023-12-06 20:11:43
model_v2,6.119,2023-12-06 20:11:43
model_v3,3.803,2023-12-06 20:11:43
model_B1,3.9,2023-12-06 20:13:00
model_v2,6.119,2023-12-06 20:13:00
model_v3,3.803,2023-12-06 20:13:00
model_B1,8.5,2023-12-06 21:31:24
model_v2,11.413,2023-12-06 21:31:24
model_v3,8.639,2023-12-06 21:31:24
model_B1,40.1,2023-12-06 21:41:01
model_v2,31.152,2023-12-06 21:41:01
model_v3,37.332,2023-12-06 21:41:01
model_B1,40.1,2023-12-06 21:41:11
model_v2,31.152,2023-12-06 21:41:11
model_v3,37.332,2023-12-06 21:41:11
model_B1,3.9,2023-12-06 21:41:30
model_v2,12.443,2023-12-06 21:41:30
model_v3,3.85,2023-12-06 21:41:30
model_B1,12.4,2023-12-06 21:51:31
model_v2,12.574,2023-12-06 21:51:31
model_v3,11.898,2023-12-06 21:51:31
RandomForest,3.9,2023-12-06 22:00:25
ExtraTreesRegressor,6.119,2023-12-06 22:00:25
RidgeRegression,3.803,2023-12-06 22:00:25
RandomForest,3.9,2023-12-06 22:02:15
ExtraTreesRegressor,6.844,2023-12-06 22:02:15
RidgeRegression,3.628,2023-12-06 22:02:15
RandomForest,17.5,2023-12-06 22:18:46
ExtraTreesRegressor,35.064,2023-12-06 22:18:46
RidgeRegression,17.036,2023-12-06 22:18:46
RandomForest,12.4,2023-12-06 22:19:27
ExtraTreesRegressor,28.908,2023-12-06 22:19:27
RidgeRegression,12.259,2023-12-06 22:19:27
RandomForest,3.9,2023-12-06 22:20:07
ExtraTreesRegressor,27.577,2023-12-06 22:20:07
RidgeRegression,3.947,2023-12-06 22:20:07
RandomForest,38.616798400878906,2023-12-06 22:29:02
ExtraTreesRegressor,37.567,2023-12-06 22:29:02
RidgeRegression,34.966,2023-12-06 22:29:02
RandomForest,17.244400024414062,2023-12-06 22:29:32
ExtraTreesRegressor,35.091,2023-12-06 22:29:32
RidgeRegression,16.551,2023-12-06 22:29:32
RandomForest,3.9,2023-12-06 22:32:53
ExtraTreesRegressor,6.119,2023-12-06 22:32:53
RidgeRegression,3.803,2023-12-06 22:32:53
RandomForest,29.8,2023-12-06 22:33:21
ExtraTreesRegressor,36.68,2023-12-06 22:33:21
RidgeRegression,34.947,2023-12-06 22:33:21
RandomForest,3.9,2023-12-07 18:52:32
ExtraTreesRegressor,6.119,2023-12-07 18:52:32
RidgeRegression,3.803,2023-12-07 18:52:32
RandomForest,8.5,2023-12-07 18:54:41
ExtraTreesRegressor,22.034,2023-12-07 18:54:41
RidgeRegression,8.652,2023-12-07 18:54:41
RandomForest,3.9,2023-12-07 19:07:45
ExtraTreesRegressor,6.119,2023-12-07 19:07:45
RidgeRegression,3.803,2023-12-07 19:07:45
RandomForest,3.9,2023-12-07 19:07:49
ExtraTreesRegressor,6.119,2023-12-07 19:07:49
RidgeRegression,3.803,2023-12-07 19:07:49
RandomForest,21.4,2023-12-07 19:08:28
ExtraTreesRegressor,29.941,2023-12-07 19:08:28
RidgeRegression,21.332,2023-12-07 19:08:28
RandomForest,3.9,2023-12-07 19:08:43
ExtraTreesRegressor,6.119,2023-12-07 19:08:43
RidgeRegression,3.803,2023-12-07 19:08:43
RandomForest,40.1,2023-12-07 19:09:03
ExtraTreesRegressor,36.793,2023-12-07 19:09:03
RidgeRegression,37.079,2023-12-07 19:09:03
